,dataset,metric,graphid,rule,pred,fidelity,infidelity,mags,spars
0,ba2,cosine,11,4,0.281622052192688,0.281622052192688,0,4,0.0
0,ba2,cosine,11,5,0.281622052192688,0.14374512434005737,0.7127132415771484,2,0.6
0,ba2,cosine,11,6,0.281622052192688,0.14374515414237976,0.7138187289237976,2,0.64
0,ba2,cosine,11,7,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,8,0.281622052192688,0.19830234348773956,0.7069770693778992,2,0.36
0,ba2,cosine,11,9,0.281622052192688,0.7193403840065002,0.1437450647354126,3,0.2
0,ba2,cosine,11,10,0.281622052192688,0.7193403840065002,0.1437450647354126,3,0.2
0,ba2,cosine,11,11,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,12,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,13,0.281622052192688,0.7193403840065002,0.1437450647354126,3,0.2
0,ba2,cosine,11,14,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,15,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,16,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,17,0.281622052192688,0.7193403840065002,0.1437450647354126,3,0.2
0,ba2,cosine,11,18,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,19,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,20,0.281622052192688,0.25685304403305054,0.19184374809265137,3,0.32
0,ba2,cosine,11,21,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,22,0.281622052192688,0.34426069259643555,0.24951808154582977,4,0.24
0,ba2,cosine,11,23,0.281622052192688,0.281622052192688,0,3,0.0
0,ba2,cosine,11,24,0.281622052192688,0.281622052192688,0,4,0.0
0,ba2,cosine,12,0,0.7239721417427063,0.7239721417427063,0,15,0.0
0,ba2,cosine,12,1,0.7239721417427063,0.7239721417427063,0,5,0.0
0,ba2,cosine,12,2,0.7239721417427063,0.14374524354934692,0.6053731441497803,3,0.6
0,ba2,cosine,12,3,0.7239721417427063,0.7239721417427063,0,2,0.0
0,ba2,cosine,12,4,0.7239721417427063,0.7239721417427063,0,4,0.0
0,ba2,cosine,12,5,0.7239721417427063,0.26499810814857483,0.7207786440849304,2,0.68
0,ba2,cosine,12,6,0.7239721417427063,0.1437452882528305,0.731228768825531,2,0.68
0,ba2,cosine,12,7,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,8,0.7239721417427063,0.30788177251815796,0.7067746520042419,2,0.36
0,ba2,cosine,12,9,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,10,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,11,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,12,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,13,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,14,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,15,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,16,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,17,0.7239721417427063,0.7239721417427063,0,3,0.0
0,ba2,cosine,12,18,0.7239721417427063,0.35144081711769104,0.7364557385444641,3,0.12
