49,# 49 9 target:0 c+:84 c-:1192 score:402.0090962285277 score+:789.9067705231176 score-:2156.737697700112 nb:4 =l_2c_8 l_2c_13 l_2c_19 l_2c_1 
50,# 50 0 target:1 c+:1347 c-:1620 score:1151.9179808708782 score+:22070.08156374569 score-:16771.25885173965 nb:6 =l_2c_16 l_2c_7 l_2c_2 l_2c_3 l_2c_17 l_2c_1 
51,# 51 1 target:1 c+:763 c-:663 score:949.4454456851836 score+:11618.995740341192 score-:6681.879422778237 nb:7 =l_2c_0 l_2c_11 l_2c_5 l_2c_16 l_2c_2 l_2c_3 l_2c_1 
52,# 52 2 target:1 c+:879 c-:782 score:778.4459277289759 score+:6721.021889162801 score-:4074.3057348842826 nb:4 =l_2c_15 l_2c_2 l_2c_1 l_2c_9 
53,# 53 3 target:1 c+:950 c-:918 score:593.0445699827492 score+:7744.8801449421335 score-:5016.8751230214875 nb:6 =l_2c_16 l_2c_2 l_2c_12 l_2c_6 l_2c_9 l_2c_14 
54,# 54 4 target:1 c+:832 c-:917 score:548.320513972154 score+:6337.768497921074 score-:4473.47875041575 nb:4 =l_2c_13 l_2c_19 l_2c_17 l_2c_14 
55,# 55 5 target:1 c+:656 c-:549 score:428.04482796265734 score+:5678.049921324555 score-:3709.0437126963316 nb:6 =l_2c_0 l_2c_15 l_2c_7 l_2c_2 l_2c_12 l_2c_14 
56,# 56 6 target:1 c+:157 c-:26 score:159.6267329429643 score+:905.142200727857 score-:170.85922919022124 nb:6 =l_2c_0 l_2c_5 l_2c_2 l_2c_17 l_2c_6 l_2c_4 
57,# 57 7 target:1 c+:829 c-:852 score:138.23284789836202 score+:4013.9691408100794 score-:3543.9774579556483 nb:4 =l_2c_10 l_2c_2 l_2c_12 l_2c_4 
58,# 58 8 target:1 c+:260 c-:275 score:134.79051854347506 score+:3006.028813947499 score-:2305.118117521429 nb:7 =l_2c_8 l_2c_5 l_2c_18 l_2c_2 l_2c_3 l_2c_12 l_2c_6 
59,# 59 9 target:1 c+:75 c-:64 score:94.61354437766005 score+:1063.462708671113 score-:571.4722779072807 nb:7 =l_2c_18 l_2c_16 l_2c_2 l_2c_17 l_2c_1 l_2c_12 l_2c_4 
